"year","interest_expense_federal_debt","interest_expense_source_url","interest_expense_source_url_name","federal_debt","federal_debt_url","federal_debt_url_name"
2011,454015000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0911.pdf","Monthly Treasury Statement",14790340000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt"
2012,359241000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0912.pdf","Monthly Treasury Statement",16066241000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt"
2013,415670000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0913.pdf","Monthly Treasury Statement",16738184000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt"
2014,429568000000,"https://www.fiscal.treasury.gov/files/reports-statements/mts/mts0914.pdf","Monthly Treasury Statement",17824071000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt"
2015,402184000000,"https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Monthly Treasury Statement",18150618000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt"
2016,429963000000,"https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Monthly Treasury Statement",19573445000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt"
2017,456955000000,"https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Monthly Treasury Statement",20244900000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt"
2018,521553000000,"https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Monthly Treasury Statement",21516058000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt"
2019,572913097834,"https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Monthly Treasury Statement",22719402000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt"
2020,522651704561,"https://fiscaldata.treasury.gov/datasets/monthly-treasury-statement/summary-of-receipts-outlays-and-the-deficit-surplus-of-the-u-s-government","Monthly Treasury Statement",26945391000000,"https://fiscaldata.treasury.gov/datasets/monthly-statement-public-debt/summary-of-treasury-securities-outstanding","Monthly Statement of the Public Debt"
