"Function_Description","Total_Budgetary_Resources"
"Commerce and Housing Credit",1200722781147.54
"Income Security",486528753464.2
"Health",242429400000
"General Government",151615410000
"Community and Regional Development",102551587000
"Transportation",68325937000
"Education, Training, Employment, and Social Services",49972969211
"Veterans Benefits and Services",19632300000
"National Defense",7662374000
"International Affairs",2365000000
"Administration of Justice",1189000000
"Natural Resources and Environment",339560000
"Social Security",338000000
"General Science, Space, and Technology",235500000
"Agriculture",103000000
"Energy",31300000
